<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
1/3/2025,08:45:00,3430.59000000,3433.46000000,3421.56000000,3433.46000000,32511099
1/3/2025,09:00:00,3433.46000000,3435.77000000,3425.84000000,3429.01000000,17241841
1/3/2025,09:15:00,3429.01000000,3439.73000000,3428.00000000,3439.73000000,12965376
1/3/2025,09:30:00,3439.72000000,3445.68000000,3438.99000000,3443.26000000,16909101
1/3/2025,09:45:00,3443.26000000,3450.08000000,3439.70000000,3446.49000000,14134547
1/3/2025,10:00:00,3446.49000000,3447.23000000,3442.32000000,3442.77000000,9478304
1/3/2025,10:15:00,3442.77000000,3443.93000000,3437.22000000,3438.39000000,9589791
1/3/2025,10:30:00,3438.39000000,3446.71000000,3438.28000000,3444.96000000,6574123
1/3/2025,10:45:00,3444.97000000,3451.66000000,3444.71000000,3445.00000000,14418428
1/3/2025,11:00:00,3445.00000000,3447.84000000,3442.84000000,3444.83000000,9605767
1/3/2025,11:15:00,3444.83000000,3449.82000000,3444.83000000,3448.48000000,5633618
1/3/2025,11:30:00,3448.48000000,3456.93000000,3446.31000000,3455.83000000,15425175
1/3/2025,11:45:00,3455.83000000,3460.90000000,3453.57000000,3457.73000000,19412963
1/3/2025,12:00:00,3457.73000000,3466.54000000,3457.04000000,3464.73000000,17651443
1/3/2025,12:15:00,3464.74000000,3473.49000000,3460.00000000,3470.74000000,20990575
1/3/2025,12:30:00,3470.74000000,3473.32000000,3461.02000000,3472.03000000,18816634
1/3/2025,12:45:00,3472.02000000,3475.50000000,3463.94000000,3464.62000000,14727032
1/3/2025,13:00:00,3464.62000000,3469.00000000,3461.27000000,3462.45000000,10923189
1/3/2025,13:15:00,3462.45000000,3488.85000000,3462.02000000,3483.65000000,52116096
1/3/2025,13:30:00,3483.66000000,3496.74000000,3473.93000000,3485.00000000,51981523
1/3/2025,13:45:00,3485.00000000,3491.68000000,3482.58000000,3486.35000000,28029797
1/3/2025,14:00:00,3486.36000000,3489.00000000,3476.42000000,3480.31000000,25574801
1/3/2025,14:15:00,3480.30000000,3498.93000000,3479.78000000,3494.38000000,26315178
1/3/2025,14:30:00,3494.38000000,3513.00000000,3494.35000000,3510.67000000,68204253
1/3/2025,14:45:00,3510.68000000,3536.60000000,3505.64000000,3524.66000000,142437492
1/3/2025,15:00:00,3524.66000000,3536.00000000,3517.55000000,3526.53000000,57069802
1/3/2025,15:15:00,3526.54000000,3544.97000000,3518.91000000,3534.11000000,67387367
1/3/2025,15:30:00,3534.10000000,3540.50000000,3519.26000000,3538.30000000,53172443
1/3/2025,15:45:00,3538.30000000,3556.87000000,3534.00000000,3553.00000000,83181335
1/3/2025,16:00:00,3553.00000000,3578.19000000,3552.83000000,3564.32000000,106049086
1/3/2025,16:15:00,3564.32000000,3588.88000000,3564.31000000,3586.30000000,79243345
1/3/2025,16:30:00,3586.27000000,3595.93000000,3578.27000000,3581.19000000,90265944
1/3/2025,16:45:00,3581.19000000,3591.55000000,3578.68000000,3587.99000000,48400239
1/3/2025,17:00:00,3587.99000000,3598.69000000,3580.08000000,3583.70000000,51846832
1/3/2025,17:15:00,3583.69000000,3593.00000000,3577.50000000,3578.58000000,31393176
1/3/2025,17:30:00,3578.58000000,3584.93000000,3572.95000000,3577.47000000,25465148
1/3/2025,17:45:00,3577.47000000,3585.00000000,3576.12000000,3581.72000000,11609947
1/3/2025,18:00:00,3581.73000000,3583.94000000,3574.00000000,3574.27000000,22039160
1/3/2025,18:15:00,3574.27000000,3590.62000000,3573.17000000,3586.69000000,20284642
1/3/2025,18:30:00,3586.68000000,3599.89000000,3585.00000000,3598.89000000,21694270
1/3/2025,18:45:00,3598.89000000,3617.00000000,3596.47000000,3611.81000000,91071689
1/3/2025,19:00:00,3611.81000000,3616.28000000,3597.55000000,3604.63000000,35908579
1/3/2025,19:15:00,3604.63000000,3623.33000000,3600.48000000,3619.14000000,54099762
1/3/2025,19:30:00,3619.13000000,3624.65000000,3614.40000000,3620.00000000,51450704
1/3/2025,19:45:00,3619.99000000,3630.00000000,3616.91000000,3620.59000000,36633809
1/3/2025,20:00:00,3620.58000000,3623.65000000,3615.00000000,3621.91000000,19140573
1/3/2025,20:15:00,3621.90000000,3622.77000000,3600.13000000,3608.46000000,48764193
1/3/2025,20:30:00,3608.46000000,3613.72000000,3603.33000000,3611.47000000,18792341
1/3/2025,20:45:00,3611.47000000,3613.41000000,3603.75000000,3607.70000000,11131827
1/3/2025,21:00:00,3607.70000000,3610.34000000,3598.28000000,3600.15000000,19238787
1/3/2025,21:15:00,3600.10000000,3612.48000000,3594.22000000,3605.96000000,28242414
1/3/2025,21:30:00,3605.96000000,3614.80000000,3605.00000000,3612.65000000,16604127
1/3/2025,21:45:00,3612.66000000,3616.22000000,3610.00000000,3614.63000000,15267210
1/3/2025,22:00:00,3614.62000000,3615.00000000,3605.13000000,3613.50000000,9621641
1/3/2025,22:15:00,3613.50000000,3620.36000000,3609.21000000,3613.19000000,16570806
1/3/2025,22:30:00,3613.20000000,3623.21000000,3611.34000000,3619.84000000,15911723
1/3/2025,22:45:00,3619.83000000,3621.62000000,3612.04000000,3613.33000000,8116032
1/3/2025,23:00:00,3613.32000000,3617.82000000,3611.88000000,3615.13000000,6530320
1/3/2025,23:15:00,3615.13000000,3616.87000000,3609.00000000,3611.32000000,10651916
1/3/2025,23:30:00,3611.32000000,3611.70000000,3605.58000000,3606.54000000,13105681
1/3/2025,23:45:00,3606.53000000,3609.69000000,3603.26000000,3607.73000000,23830759
1/4/2025,00:00:00,3607.72000000,3608.30000000,3603.89000000,3607.89000000,13377775
1/4/2025,00:15:00,3607.90000000,3609.54000000,3601.69000000,3608.05000000,22077269
1/4/2025,00:30:00,3608.04000000,3619.90000000,3608.04000000,3615.78000000,12312832
1/4/2025,00:45:00,3615.78000000,3615.79000000,3602.00000000,3606.51000000,15144161
1/4/2025,01:00:00,3606.52000000,3608.24000000,3601.06000000,3601.97000000,11326606
1/4/2025,01:15:00,3601.98000000,3603.53000000,3582.17000000,3585.58000000,34378859
1/4/2025,01:30:00,3585.58000000,3596.46000000,3581.44000000,3593.19000000,16959618
1/4/2025,01:45:00,3593.20000000,3594.64000000,3588.63000000,3593.10000000,9741070
1/4/2025,02:00:00,3593.10000000,3598.38000000,3590.77000000,3595.65000000,8646392
1/4/2025,02:15:00,3595.65000000,3597.01000000,3586.88000000,3590.50000000,12443522
1/4/2025,02:30:00,3590.50000000,3592.10000000,3582.40000000,3585.00000000,7328274
1/4/2025,02:45:00,3585.00000000,3594.70000000,3582.00000000,3591.55000000,9151389
1/4/2025,03:00:00,3591.54000000,3599.46000000,3591.54000000,3595.43000000,10518211
1/4/2025,03:15:00,3595.43000000,3599.49000000,3589.37000000,3596.33000000,11555716
1/4/2025,03:30:00,3596.33000000,3596.68000000,3590.36000000,3593.03000000,6538894
1/4/2025,03:45:00,3593.03000000,3598.83000000,3590.36000000,3596.21000000,7533878
1/4/2025,04:00:00,3596.21000000,3597.91000000,3593.22000000,3597.19000000,7126772
1/4/2025,04:15:00,3597.19000000,3597.19000000,3587.09000000,3590.80000000,12422299
1/4/2025,04:30:00,3590.80000000,3592.65000000,3586.88000000,3586.89000000,5019282
