Trade#,Type,EntryDate,EntryPrice,ExitDate,ExitPrice,PositionSize,PnL_USDT,PnL_Percent,Commission,NetPnL
39,SHORT,2025-01-28 16:45:00,3160.15,2025-01-28 21:00:00,3106.28,52.858471,2847.49,1.70,165.62,2681.87
39,SHORT,2025-01-28 16:45:00,3160.15,2025-01-28 21:15:00,3108.40,52.858471,2735.38,1.64,165.67,2569.71
40,SHORT,2025-01-29 09:30:00,3124.88,2025-01-29 10:30:00,3137.37,205.206097,-2562.73,-0.40,642.53,-3205.26
41,SHORT,2025-01-29 12:45:00,3117.16,2025-01-29 14:45:00,3087.12,96.236210,2891.13,0.96,298.54,2592.59
41,SHORT,2025-01-29 12:45:00,3117.16,2025-01-29 15:15:00,3117.16,96.236210,0.00,0.00,299.98,-299.98
42,SHORT,2025-01-29 16:30:00,3089.84,2025-01-29 17:30:00,3112.77,110.144708,-2525.93,-0.74,341.59,-2867.53
43,SHORT,2025-01-29 19:30:00,3057.80,2025-01-29 19:45:00,3085.51,88.531409,-2453.03,-0.91,271.94,-2724.97
44,LONG,2025-01-30 09:45:00,3215.07,2025-01-30 13:30:00,3248.48,83.251850,2781.78,1.04,269.05,2512.73
44,LONG,2025-01-30 09:45:00,3215.07,2025-01-30 13:45:00,3251.37,83.251850,3022.33,1.13,269.17,2753.16
45,LONG,2025-01-31 02:15:00,3269.03,2025-01-31 02:30:00,3254.18,168.603354,-2504.34,-0.45,549.92,-3054.26
46,LONG,2025-01-31 09:45:00,3261.69,2025-01-31 11:15:00,3298.34,77.179983,2828.49,1.12,253.15,2575.34
46,LONG,2025-01-31 09:45:00,3261.69,2025-01-31 11:30:00,3328.23,77.179983,5135.56,2.04,254.30,4881.25
47,SHORT,2025-02-02 03:15:00,3094.74,2025-02-02 04:00:00,3076.48,128.579282,2347.86,0.59,396.75,1951.11
48,SHORT,2025-02-02 11:30:00,3078.31,2025-02-02 14:15:00,3095.31,155.229531,-2639.39,-0.55,479.16,-3118.55
49,SHORT,2025-02-02 16:45:00,3038.23,2025-02-02 17:45:00,2989.37,124.547493,6085.39,1.61,375.36,5710.03
50,SHORT,2025-02-02 22:45:00,2841.84,2025-02-03 02:00:00,2727.66,27.498748,3139.86,4.02,76.58,3063.28
50,SHORT,2025-02-02 22:45:00,2841.84,2025-02-03 02:15:00,2646.10,27.498748,5382.62,6.89,75.46,5307.16
51,SHORT,2025-02-03 14:15:00,2546.20,2025-02-03 14:45:00,2580.13,85.176349,-2890.33,-1.33,218.32,-3108.65
52,SHORT,2025-02-04 20:00:00,2768.85,2025-02-04 21:45:00,2681.03,37.369832,3281.97,3.17,101.83,3180.14
52,SHORT,2025-02-04 20:00:00,2768.85,2025-02-04 22:00:00,2637.94,37.369832,4892.08,4.73,101.03,4791.06
53,SHORT,2025-02-08 05:30:00,2624.43,2025-02-08 07:30:00,2592.78,110.642081,3502.26,1.21,288.62,3213.64
53,SHORT,2025-02-08 05:30:00,2624.43,2025-02-08 07:45:00,2624.43,110.642081,0.00,0.00,290.37,-290.37
54,SHORT,2025-02-08 15:45:00,2594.00,2025-02-08 17:00:00,2610.53,185.428343,-3065.13,-0.64,482.53,-3547.66
55,SHORT,2025-02-09 21:30:00,2620.96,2025-02-09 21:45:00,2587.00,102.182607,3469.92,1.30,266.08,3203.84
55,SHORT,2025-02-09 21:30:00,2620.96,2025-02-09 22:00:00,2562.75,102.182607,5948.43,2.22,264.84,5683.59
56,SHORT,2025-02-10 01:45:00,2571.17,2025-02-10 03:30:00,2604.39,95.762248,-3181.09,-1.29,247.81,-3428.90
57,LONG,2025-02-11 05:15:00,2696.77,2025-02-11 06:00:00,2716.18,242.484709,4706.63,0.72,656.28,4050.35
58,SHORT,2025-02-12 03:15:00,2579.80,2025-02-12 03:30:00,2597.90,175.950027,-3185.20,-0.70,455.51,-3640.71
59,SHORT,2025-02-12 04:45:00,2586.35,2025-02-12 05:15:00,2603.55,179.804134,-3092.37,-0.66,466.58,-3558.96
60,SHORT,2025-02-12 13:45:00,2593.34,2025-02-12 17:00:00,2616.57,129.201116,-3001.38,-0.90,336.56,-3337.94
61,LONG,2025-02-14 14:15:00,2699.24,2025-02-14 15:00:00,2729.79,111.413363,3403.46,1.13,302.43,3101.02
61,LONG,2025-02-14 14:15:00,2699.24,2025-02-14 15:15:00,2699.24,111.413363,0.00,0.00,300.73,-300.73
62,LONG,2025-02-15 03:15:00,2733.36,2025-02-15 04:00:00,2723.09,289.912618,-2977.24,-0.38,790.95,-3768.18
63,SHORT,2025-02-16 23:15:00,2660.17,2025-02-17 01:45:00,2674.92,195.006380,-2877.29,-0.55,520.19,-3397.48
64,SHORT,2025-02-18 15:15:00,2686.31,2025-02-18 16:45:00,2640.72,71.378863,3254.45,1.70,190.12,3064.33
64,SHORT,2025-02-18 15:15:00,2686.31,2025-02-18 17:45:00,2617.04,71.378863,4944.41,2.58,189.27,4755.14
65,LONG,2025-02-20 01:00:00,2727.93,2025-02-20 01:45:00,2714.67,224.191877,-2972.59,-0.49,610.09,-3582.69
66,LONG,2025-02-20 02:30:00,2726.94,2025-02-20 04:30:00,2754.78,120.667679,3359.15,1.02,330.73,3028.41
66,LONG,2025-02-20 02:30:00,2726.94,2025-02-20 04:45:00,2743.89,120.667679,2045.35,0.62,330.08,1715.28
67,LONG,2025-02-20 12:15:00,2741.80,2025-02-20 13:30:00,2733.96,380.878897,-2985.22,-0.29,1042.80,-4028.02
68,LONG,2025-02-21 03:30:00,2746.77,2025-02-21 09:30:00,2769.20,149.565478,3355.35,0.82,412.50,2942.85
68,LONG,2025-02-21 03:30:00,2746.77,2025-02-21 09:45:00,2782.93,149.565478,5408.72,1.32,413.53,4995.19
69,LONG,2025-02-21 09:45:00,2771.52,2025-02-21 13:15:00,2811.93,88.252674,3566.11,1.46,246.38,3319.74
69,LONG,2025-02-21 09:45:00,2771.52,2025-02-21 13:30:00,2826.51,88.252674,4853.14,1.98,247.02,4606.12
70,SHORT,2025-02-22 08:15:00,2676.11,2025-02-22 08:45:00,2685.39,349.333835,-3241.02,-0.35,936.48,-4177.50
71,LONG,2025-02-23 05:00:00,2761.43,2025-02-23 05:45:00,2785.59,151.097979,3651.13,0.88,419.07,3232.06
71,LONG,2025-02-23 05:00:00,2761.43,2025-02-23 06:30:00,2792.57,151.097979,4705.19,1.13,419.60,4285.59
72,LONG,2025-02-23 23:15:00,2838.50,2025-02-23 23:30:00,2825.02,244.876155,-3299.95,-0.47,693.43,-3993.38
73,LONG,2025-02-23 23:30:00,2816.11,2025-02-24 01:15:00,2799.12,188.103379,-3195.77,-0.60,528.12,-3723.89
74,SHORT,2025-02-24 08:45:00,2688.76,2025-02-24 09:30:00,2704.02,203.163243,-3100.04,-0.57,547.81,-3647.85
75,SHORT,2025-02-24 22:30:00,2580.80,2025-02-24 23:00:00,2508.34,48.399414,3506.92,2.81,123.16,3383.77
75,SHORT,2025-02-24 22:30:00,2580.80,2025-02-24 23:15:00,2532.64,48.399414,2331.12,1.87,123.74,2207.38
