Trade#,Regime,SignalType,Type,EntryDate,EntryPrice,ExitDate,ExitPrice,PositionSize,PnL_USDT,PnL_Percent,Commission,NetPnL,Duration_Hours,ExitReason,SessionMultiplier
156,RANGING,MeanReversion,SHORT,2025-09-23 08:15:00,4204.90,2025-09-23 12:45:00,4196.16,25.9676,56.74,-0.01,68.22,-11.48,4.50,TrailingStop,1.00
157,RANGING,MeanReversion,SHORT,2025-09-23 08:30:00,4208.29,2025-09-23 12:45:00,4196.16,26.2308,79.54,0.01,68.95,10.59,4.25,TrailingStop,1.00
158,TRENDING,TrendFollow,SHORT,2025-09-25 01:00:00,4126.73,2025-09-25 05:00:00,4000.18,17.1574,911.93,1.22,49.81,862.12,4.00,TP3,0.60
159,TRENDING,TrendFollow,SHORT,2025-09-25 01:15:00,4123.00,2025-09-25 05:00:00,4000.18,16.3106,841.37,1.18,47.33,794.05,3.75,TP3,0.60
160,TRENDING,TrendFollow,SHORT,2025-09-25 13:15:00,3974.16,2025-09-25 18:00:00,3837.05,16.5753,954.51,1.38,46.29,908.22,4.75,RSI_Extreme,1.00
161,TRENDING,TrendFollow,SHORT,2025-09-25 05:00:00,4000.18,2025-09-25 18:30:00,3880.64,7.3813,370.59,1.18,20.78,349.81,13.50,TrailingStop,0.60
162,TRENDING,TrendFollow,LONG,2025-09-29 09:30:00,4133.08,2025-09-29 11:15:00,4093.28,36.2138,-1441.31,-1.06,148.95,-1590.26,1.75,StopLoss,1.00
163,TRENDING,TrendFollow,LONG,2025-09-29 20:00:00,4185.94,2025-09-30 05:15:00,4184.05,24.1855,-22.86,-0.10,75.92,-98.77,9.25,StopLoss,0.80
164,TRENDING,TrendFollow,LONG,2025-10-02 02:00:00,4390.86,2025-10-02 09:15:00,4383.20,14.5340,-111.33,-0.27,63.76,-175.09,7.25,StopLoss,0.60
165,TRENDING,TrendFollow,LONG,2025-10-03 03:15:00,4529.67,2025-10-03 05:45:00,4472.45,14.5103,-830.28,-1.36,65.31,-895.59,2.50,StopLoss,0.60
166,TRENDING,TrendFollow,LONG,2025-10-06 12:30:00,4583.00,2025-10-06 15:00:00,4637.13,18.9305,333.03,0.32,57.64,275.39,2.50,TrailingStop,0.60
167,TRENDING,TrendFollow,LONG,2025-10-06 17:30:00,4707.85,2025-10-06 23:45:00,4693.29,14.4377,-210.21,-0.41,67.87,-278.08,6.25,StopLoss,0.80
168,TRENDING,TrendFollow,LONG,2025-10-07 05:45:00,4722.00,2025-10-07 06:30:00,4675.02,19.4592,-914.19,-1.09,91.43,-1005.62,0.75,StopLoss,0.60
169,TRENDING,TrendFollow,SHORT,2025-10-08 05:30:00,4432.51,2025-10-08 08:45:00,4491.89,13.6341,-809.59,-1.44,60.84,-870.43,3.25,StopLoss,0.60
170,TRENDING,TrendFollow,SHORT,2025-10-09 15:45:00,4293.50,2025-10-09 22:45:00,4376.98,15.2264,-1271.10,-2.05,66.01,-1337.11,7.00,StopLoss,1.00
171,TRENDING,TrendFollow,SHORT,2025-10-09 14:45:00,4317.03,2025-10-10 01:30:00,4390.56,17.2920,-1271.48,-1.80,75.29,-1346.77,10.75,StopLoss,1.00
172,TRENDING,TrendFollow,SHORT,2025-10-10 15:15:00,4255.56,2025-10-10 16:00:00,4100.48,18.0662,1176.71,1.46,54.00,1122.72,0.75,RSI_Extreme,1.00
173,TRENDING,TrendFollow,SHORT,2025-10-29 16:00:00,3950.23,2025-10-29 18:00:00,4012.63,21.7779,-1358.94,-1.68,86.71,-1445.65,2.00,StopLoss,1.00
174,TRENDING,TrendFollow,SHORT,2025-10-29 18:45:00,3861.09,2025-10-30 14:00:00,3764.66,9.9099,573.37,1.42,30.32,543.05,19.25,RSI_Extreme,0.80
175,TRENDING,TrendFollow,SHORT,2025-10-29 23:45:00,3890.01,2025-10-30 14:00:00,3764.66,12.4842,657.26,1.28,34.15,623.11,14.25,RSI_Extreme,0.60
176,TRENDING,TrendFollow,SHORT,2025-11-03 02:30:00,3811.92,2025-11-03 03:30:00,3750.42,13.2081,487.38,0.89,40.03,447.34,1.00,RSI_Extreme,0.60
177,TRENDING,TrendFollow,SHORT,2025-11-03 02:15:00,3832.38,2025-11-03 03:45:00,3751.05,13.9438,476.30,0.82,37.70,438.60,1.50,RSI_Extreme,0.60
178,TRENDING,TrendFollow,SHORT,2025-11-03 16:15:00,3605.90,2025-11-04 06:00:00,3490.30,14.6384,1015.32,1.84,41.72,973.60,13.75,RSI_Extreme,1.00
179,TRENDING,TrendFollow,SHORT,2025-11-04 06:15:00,3520.00,2025-11-04 15:45:00,3548.76,14.9157,-428.97,-0.92,52.72,-481.69,9.50,StopLoss,0.80
180,TRENDING,TrendFollow,SHORT,2025-11-06 16:00:00,3300.01,2025-11-06 22:00:00,3324.60,15.5151,-381.52,-0.85,51.39,-432.91,6.00,StopLoss,1.00
181,TRENDING,TrendFollow,LONG,2025-11-10 01:00:00,3634.14,2025-11-10 12:30:00,3591.25,11.7184,-502.60,-1.28,42.33,-544.94,11.50,StopLoss,0.60
182,TRENDING,TrendFollow,LONG,2025-11-10 01:15:00,3637.48,2025-11-10 12:30:00,3591.25,10.8146,-499.96,-1.37,39.09,-539.05,11.25,StopLoss,0.60
183,TRENDING,TrendFollow,LONG,2025-11-11 02:45:00,3628.91,2025-11-11 05:45:00,3546.28,10.0776,-832.71,-2.38,36.15,-868.87,3.00,StopLoss,0.60
184,RANGING,MeanReversion,SHORT,2025-11-12 06:30:00,3450.91,2025-11-12 07:15:00,3446.17,29.6522,35.14,-0.03,63.94,-28.80,0.75,TrailingStop,0.80
185,TRENDING,TrendFollow,SHORT,2025-11-13 15:45:00,3390.24,2025-11-13 18:30:00,3238.55,14.3186,912.23,1.81,34.01,878.22,2.75,RSI_Extreme,1.00
186,TRENDING,TrendFollow,SHORT,2025-11-13 16:00:00,3385.52,2025-11-13 18:30:00,3238.55,13.8008,851.89,1.75,32.75,819.14,2.50,RSI_Extreme,1.00
187,TRENDING,TrendFollow,SHORT,2025-11-14 13:45:00,3087.00,2025-11-14 14:45:00,3199.88,14.2687,-1610.65,-3.76,44.85,-1655.51,1.00,StopLoss,1.00
188,TRENDING,TrendFollow,SHORT,2025-11-17 19:45:00,2987.93,2025-11-18 00:45:00,2997.66,11.4755,-111.66,-0.43,34.34,-146.00,5.00,StopLoss,0.80
